岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
会计（高薪+五险）,云浮市利机石材有限公司,辽宁省,4.5-6千/月,绩效奖金 全勤奖 节日福利 专业培训 员工旅游 缴纳保险,合资,5.0,5.0,2021-06-27 09:04:24,150-500人,https://jobs.51job.com/liaoningsheng/129244460.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳市华安堂医药连锁有限公司,深圳-龙岗区,5-8千/月,专业培训 绩效奖金 包住,民营公司,4.0,5.0,2021-06-27 09:04:05,50-150人,https://jobs.51job.com/shenzhen-lgq/99125398.html?s=sou_sou_soulb&t=0_0
往来会计,浙江大象智能科技有限公司,杭州-滨江区,6-8千/月,员工旅游 餐饮补贴 绩效奖金 年终奖金 五险一金 节日福利 高温补贴 带薪年假,民营公司,5.0,3.0,2021-06-27 09:03:51,50-150人,https://jobs.51job.com/hangzhou-bjq/129736732.html?s=sou_sou_soulb&t=0_0
总账会计,陕西永泰丰商贸有限公司,西安-未央区,4-6千/月,弹性工作 绩效奖金 节日福利,民营公司,5.0,3.0,2021-06-27 09:03:36,少于50人,https://jobs.51job.com/xian-wyq/129616956.html?s=sou_sou_soulb&t=0_0
主办会计,杭州精博康复辅具有限公司,宁波-鄞州区,5-6.5千/月,通讯补贴 交通补贴 五险 员工旅游 年终奖金,民营公司,4.0,4.0,2021-06-27 09:03:32,少于50人,https://jobs.51job.com/ningbo-yzq/132598323.html?s=sou_sou_soulb&t=0_0
财务会计主管,山东军辉建设集团有限公司,济南-槐荫区,4.7-9千/月,五险一金 年终奖金 绩效奖金 专业培训,民营公司,5.0,4.0,2021-06-27 09:02:55,1000-5000人,https://jobs.51job.com/jinan-hyq/123203389.html?s=sou_sou_soulb&t=0_0
会计助理,青岛佳吉瑞科技有限公司,青岛-市南区,3.5-6千/月,周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 住房补贴 通讯补贴,民营公司,6.0,4.0,2021-06-27 09:02:55,少于50人,https://jobs.51job.com/qingdao-snq/119715644.html?s=sou_sou_soulb&t=0_0
主办会计,金恪投资控股股份有限公司,上海-浦东新区,0.7-1万/月,周末双休 五险一金 免费班车 节日福利 通讯补贴 做五休二 绩效奖金,合资,5.0,4.0,2021-06-27 09:02:45,1000-5000人,https://jobs.51job.com/shanghai-pdxq/133023560.html?s=sou_sou_soulb&t=0_0
税务会计,广州三晶电气股份有限公司,广州,0.7-1.3万/月,周末双休 带薪年假 五险一金 节日福利 年终奖金 定期体检,民营公司,5.0,4.0,2021-06-27 09:02:45,500-1000人,https://jobs.51job.com/guangzhou/131456069.html?s=sou_sou_soulb&t=0_0
会计专员,徐州拓普互动智能科技有限公司,徐州,3-4.5千/月,带薪年假 绩效奖金 全勤奖 节日福利 定期体检,民营公司,5.0,4.0,2021-06-27 09:02:41,50-150人,https://jobs.51job.com/xuzhou/124175525.html?s=sou_sou_soulb&t=0_0
行政会计（财务公司）,西安天瑞财税集团有限公司,西安-碑林区,3-6千/月,做五休二 弹性工作 专业培训 五险 带薪年假 节日福利,民营公司,5.0,3.0,2021-06-27 09:02:35,50-150人,https://jobs.51job.com/xian-blq/123845606.html?s=sou_sou_soulb&t=0_0
学校总账会计,深圳市金安教育投资有限公司,深圳-龙岗区,5.5-7.5千/月,包住宿 包三餐 周末双休 节日福利 五险一金 带薪寒假,民营公司,5.0,3.0,2021-06-27 09:02:34,1000-5000人,https://jobs.51job.com/shenzhen-lgq/130242433.html?s=sou_sou_soulb&t=0_0
会计,成都三福石材有限责任公司,成都-青白江区,3.5-5千/月,包住宿 包三餐,民营公司,4.0,6.0,2021-06-27 09:02:32,150-500人,https://jobs.51job.com/chengdu-qbjq/132809200.html?s=sou_sou_soulb&t=0_0
工业会计,沈阳非晶金属材料制造有限公司,沈阳-大东区,4.5-6千/月,五险一金 绩效奖金 全勤奖 节日福利 交通补贴 餐饮补贴,民营公司,6.0,5.0,2021-06-27 09:02:27,50-150人,https://jobs.51job.com/shenyang-ddq/131650757.html?s=sou_sou_soulb&t=0_0
会计,浙江广通汽车有限公司,杭州,5.5-7千/月,高温补贴 带薪年假 弹性工作 包吃 五险一金 节日福利 全勤奖 绩效奖金 专业培训 餐饮补贴,国企,5.0,3.0,2021-06-27 09:02:15,50-150人,https://jobs.51job.com/hangzhou/130679016.html?s=sou_sou_soulb&t=0_0
财务会计（双休+社保）,武汉宏鸿农产品有限公司,武汉-江汉区,4-6千/月,通讯补贴 餐饮补贴 交通补贴 绩效奖金 五险 周末双休,民营公司,5.0,4.0,2021-06-27 09:02:11,少于50人,https://jobs.51job.com/wuhan-jhq/123373059.html?s=sou_sou_soulb&t=0_0
财务会计专员,北京华安源智能科技有限公司,北京-西城区,5-7千/月,五险一金 员工旅游 通讯补贴 年终奖金 周末双休 带薪年假 节日福利,民营公司,5.0,3.0,2021-06-27 09:02:06,50-150人,https://jobs.51job.com/beijing-xcq/129334565.html?s=sou_sou_soulb&t=0_0
财务会计专员,广州市翰毅企业管理服务有限公司,广州-越秀区,5-6.5千/月,五险一金 员工旅游 交通补贴 年终奖金 专业培训,民营公司,5.0,4.0,2021-06-27 09:01:47,少于50人,https://jobs.51job.com/guangzhou-yxq/131956594.html?s=sou_sou_soulb&t=0_0
