岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
会计,湖南长沙高兴房地产开发有限公司,长沙-雨花区,6-8千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,民营公司,5.0,5.0,2021-06-27 09:05:23,150-500人,https://jobs.51job.com/changsha-yhq/123328027.html?s=sou_sou_soulb&t=0_0
会计,武汉孚安特科技有限公司,武汉-东湖新技术产业开发区,4-6千/月,五险一金 年终奖金 周末双休 专业培训 节日福利 绩效奖金,上市公司,6.0,4.0,2021-06-27 09:04:52,500-1000人,https://jobs.51job.com/wuhan-dhxjs/132312302.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳市麦士德福科技股份有限公司,深圳,6-8千/月,五险一金 定期体检 节日福利 包吃 包三餐 包住宿 住房补贴 全勤奖 带薪年假 专业培训,民营公司,5.0,6.0,2021-06-27 09:04:51,500-1000人,https://jobs.51job.com/shenzhen/110756613.html?s=sou_sou_soulb&t=0_0
成本会计,宁波瑞明进出口有限公司,宁波,6-8千/月,五险一金 免费班车 员工旅游 交通补贴 专业培训 出国机会 绩效奖金 定期体检,民营公司,6.0,5.0,2021-06-27 09:04:46,150-500人,https://jobs.51job.com/ningbo/126729711.html?s=sou_sou_soulb&t=0_0
会计,武汉迪赛威智能科技有限公司,武汉,0.7-1.2万/月,五险一金 补充医疗保险 补充公积金 餐饮补贴 通讯补贴 年终奖金 绩效奖金 专业培训 股票期权 员工关怀,民营公司,6.0,6.0,2021-06-27 09:04:45,50-150人,https://jobs.51job.com/wuhan/130028181.html?s=sou_sou_soulb&t=0_0
总账会计、报表会计,爱普香料集团股份有限公司,上海-静安区,0.6-1万/月,做五休二 周末双休 带薪年假 五险一金 节日福利 专业培训 餐饮补贴,上市公司,5.0,5.0,2021-06-27 09:04:45,500-1000人,https://jobs.51job.com/shanghai-jaq/104214131.html?s=sou_sou_soulb&t=0_0
会计助理,浙江海顺电工有限公司,温州,4.5-6千/月,五险 包住宿 节日福利 全勤奖 餐饮补贴 加班补贴,民营公司,5.0,3.0,2021-06-27 09:04:43,150-500人,https://jobs.51job.com/wenzhou/131795883.html?s=sou_sou_soulb&t=0_0
会计助理,美国COPPEL CORPORATION深圳代表处,深圳-南山区,1-1.2万/月,五险一金 年终奖金 做五休二 周末双休 带薪年假 每年调薪 商业保险,外企代表处,6.0,4.0,2021-06-27 09:04:38,少于50人,https://jobs.51job.com/shenzhen-nsq/130987622.html?s=sou_sou_soulb&t=0_0
财务会计,湖北星鹏能源有限公司,武汉,6-8千/月,周末双休 五险 节假日福利,民营公司,5.0,6.0,2021-06-27 09:04:33,少于50人,https://jobs.51job.com/wuhan/112657217.html?s=sou_sou_soulb&t=0_0
会计,北京心知堂文化交流有限公司,北京-大兴区,6-8千/月,五险一金 员工旅游 周末双休,民营公司,5.0,5.0,2021-06-27 09:04:30,少于50人,https://jobs.51job.com/beijing-dxq/129314791.html?s=sou_sou_soulb&t=0_0
会计,深圳市伟莱达电子有限公司,深圳,0.7-1万/月,周末双休 节日福利 带薪年假 全勤奖,民营公司,6.0,4.0,2021-06-27 09:04:28,少于50人,https://jobs.51job.com/shenzhen/129417933.html?s=sou_sou_soulb&t=0_0
财务会计（中国中车、央企）,宁波市江北九方和荣电气有限公司,宁波,7-8万/年,周末双休 节日福利 包吃 五险一金 免费班车 员工旅游 专业培训 年终奖金 定期体检,国企,6.0,10.0,2021-06-27 09:04:20,150-500人,https://jobs.51job.com/ningbo/131506748.html?s=sou_sou_soulb&t=0_0
财务会计,临沂世鼎商贸有限公司,临沂-兰山区,3-4.5千/月,缴纳五险 绩效奖金 专业培训 员工旅游 餐饮补贴,民营公司,5.0,4.0,2021-06-27 09:02:59,150-500人,https://jobs.51job.com/linyi-lsq/127834689.html?s=sou_sou_soulb&t=0_0
会计助理,湖北聚汇农业开发有限公司,荆门,3-4.5千/月,绩效奖金 员工旅游 年终奖金 餐饮补贴,民营公司,5.0,5.0,2021-06-27 09:02:55,150-500人,https://jobs.51job.com/jingmen/132916276.html?s=sou_sou_soulb&t=0_0
主办会计,杭州博纳财务管理有限公司,杭州-滨江区,0.7-1.1万/月,员工旅游 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金,民营公司,5.0,3.0,2021-06-27 09:02:54,少于50人,https://jobs.51job.com/hangzhou-bjq/132378486.html?s=sou_sou_soulb&t=0_0
销售会计,广州市金钰天成置业有限责任公司,广州-番禺区,6-9千/月,五险一金 员工旅游 绩效奖金 年底双薪 专业培训 餐饮补贴 包吃住 带薪年假,民营公司,6.0,3.0,2021-06-27 09:02:45,50-150人,https://jobs.51job.com/guangzhou-pyq/132638509.html?s=sou_sou_soulb&t=0_0
会计,广东中达新材料科技有限公司,佛山-南海区,5-6千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,民营公司,5.0,4.0,2021-06-27 09:02:43,50-150人,https://jobs.51job.com/foshan-nhq/131126529.html?s=sou_sou_soulb&t=0_0
总账会计,佛山市赛明照明电器有限公司,佛山-南海区,6-8千/月,五险 专业培训 员工旅游 做五休二 周末双休 包吃 全勤奖 带薪年假 出国机会,民营公司,5.0,4.0,2021-06-27 09:02:41,50-150人,https://jobs.51job.com/foshan-nhq/123577834.html?s=sou_sou_soulb&t=0_0
会计助理,深圳市永至诚贸易有限公司,深圳-罗湖区,4.5-6千/月,五险一金 员工旅游 餐饮补贴 年终奖金 带薪年假 绩效奖金 高温补贴 节日福利,民营公司,5.0,3.0,2021-06-27 09:02:37,50-150人,https://jobs.51job.com/shenzhen-lhq/132959561.html?s=sou_sou_soulb&t=0_0
会计助理,上海维芈家居有限公司,上海-普陀区,5-6千/月,节日福利 专业培训 五险一金,民营公司,5.0,3.0,2021-06-27 09:02:29,50-150人,https://jobs.51job.com/shanghai-ptq/128839428.html?s=sou_sou_soulb&t=0_0
财务会计,广东嘉亚建设有限公司,东莞-南城区,6-8千/月,员工旅游 交通补贴 餐饮补贴 定期体检 绩效奖金 社保,民营公司,5.0,4.0,2021-06-27 09:01:49,50-150人,https://jobs.51job.com/dongguan-ncq/113618570.html?s=sou_sou_soulb&t=0_0
工业会计,广东天仁科技有限公司,广州-白云区,6.5-8.5千/月,节日福利 专业培训 员工旅游 绩效奖金 社保 年终奖金 全勤奖,民营公司,6.0,6.0,2021-06-27 09:01:46,150-500人,https://jobs.51job.com/guangzhou-byq/129414019.html?s=sou_sou_soulb&t=0_0
会计,深圳市安菲力科技有限公司,深圳-南山区,6-8千/月,五险一金 补充公积金 员工旅游 交通补贴 通讯补贴 绩效奖金 年终奖金 定期体检,民营公司,5.0,4.0,2021-06-27 09:01:40,少于50人,https://jobs.51job.com/shenzhen-nsq/123583166.html?s=sou_sou_soulb&t=0_0
商管会计,湖南怡海三湘房地产开发有限公司,长沙-天心区,4.5-7千/月,包吃 包住 通讯补贴 带薪年假 节日福利 全勤 绩效奖金 定期体检 年终奖金 五险,外资（非欧美）,5.0,5.0,2021-06-27 09:01:39,500-1000人,https://jobs.51job.com/changsha-txq/132823437.html?s=sou_sou_soulb&t=0_0
中级会计师,武汉贝帆财务咨询有限公司,武汉-武昌区,6-8千/月,五险一金 交通补贴 通讯补贴 员工旅游 绩效奖金,民营公司,5.0,5.0,2021-06-27 09:01:35,少于50人,https://jobs.51job.com/wuhan-wcq/123588327.html?s=sou_sou_soulb&t=0_0
成本会计主管,广东宏岳塑胶有限公司,云浮,0.6-1万/月,弹性工作 带薪年假 五险一金 节日福利 年终奖金 餐补话补 差旅补贴,民营公司,5.0,5.0,2021-06-27 09:01:32,50-150人,https://jobs.51job.com/yunfu/132953966.html?s=sou_sou_soulb&t=0_0
成本会计,江苏鑫美达金属铸造有限公司,常州-武进区,4.5-5千/月,绩效奖金 全勤奖 节日福利 专业培训 弹性工作 带薪年假 免费班车 加班补贴 餐饮补贴,民营公司,5.0,3.0,2021-06-27 08:59:53,150-500人,https://jobs.51job.com/changzhou-wjq/125810076.html?s=sou_sou_soulb&t=0_0
会计财务核算底薪4600+奖金+住宿,武汉优企帮财务管理咨询有限公司,武汉-江汉区,4.5-6千/月,做五休二 带薪年假 周末双休 包住宿 绩效奖金 节日福利 交通补贴 通讯补贴,民营公司,5.0,10.0,2021-06-27 08:51:30,50-150人,https://jobs.51job.com/wuhan-jhq/100866909.html?s=sou_sou_soulb&t=0_0
直营店面会计,太子家居有限公司,成都-邛崃市,5-7千/月,五险一金 定期体检 弹性工作 年终奖金 绩效奖金,民营公司,5.0,5.0,2021-06-27 08:30:07,1000-5000人,https://jobs.51job.com/chengdu-qls/133132178.html?s=sou_sou_soulb&t=0_0
会计,广东华三行工程机械有限公司,广州-黄埔区,4.5-6千/月,通讯补贴 带薪年假 包住宿 员工旅游 定期体检 年终奖金 五险 交通补贴 年底双薪,民营公司,5.0,10.0,2021-06-27 08:24:18,150-500人,https://jobs.51job.com/guangzhou-hpq/114310257.html?s=sou_sou_soulb&t=0_0
财务会计包食宿五险,鑫方盛控股集团有限公司,南昌-南昌县,3-4.5千/月,员工旅游 专业培训 下午茶 生日会 五险一金 交通补贴,民营公司,5.0,3.0,2021-06-27 08:01:07,1000-5000人,https://jobs.51job.com/nanchang-ncx/132941381.html?s=sou_sou_soulb&t=0_0
电商会计(HIPANDA),上海泽东服饰有限公司,上海-静安区,0.8-1万/月,做五休二 周末双休 带薪年假 五险一金,合资,6.0,5.0,2021-06-27 08:01:03,500-1000人,https://jobs.51job.com/shanghai-jaq/126177249.html?s=sou_sou_soulb&t=0_0
***会计,沈阳锦邦家电制冷配件销售有限公司,沈阳-沈河区,2000元/天,免费班车 员工旅游 绩效奖金,民营公司,4.0,5.0,2021-06-27 07:44:01,少于50人,https://jobs.51job.com/shenyang-shq/133053235.html?s=sou_sou_soulb&t=0_0
往来会计,江西晖能新材料有限公司,宜春,4.5-6千/月,五险 年终奖金 包吃住,民营公司,5.0,4.0,2021-06-27 07:40:03,50-150人,https://jobs.51job.com/yichune/133132096.html?s=sou_sou_soulb&t=0_0
会计,江苏邦东建设工程有限公司,南京-建邺区,6-8千/月,交通补贴 餐饮补贴 年终奖金 绩效奖金 五险一金 周末双休,民营公司,5.0,6.0,2021-06-27 07:15:57,少于50人,https://jobs.51job.com/nanjing-jyq/119495689.html?s=sou_sou_soulb&t=0_0
成本会计,青岛裕丰汉唐木业有限公司,西安-未央区,3-4.5千/月,五险一金 交通补贴 绩效奖金 年终奖金,上市公司,5.0,4.0,2021-06-27 07:00:48,1000-5000人,https://jobs.51job.com/xian-wyq/130263719.html?s=sou_sou_soulb&t=0_0
管理会计,华润怡宝饮料（中国）有限公司,兰州,4-6千/月,五险一金 带薪年假 绩效奖金 交通补贴 通讯补贴 高温补贴 每年多次调薪,外资（非欧美）,5.0,3.0,2021-06-27 04:00:44,10000人以上,https://jobs.51job.com/lanzhou/133126984.html?s=sou_sou_soulb&t=0_0
会计(J14198),欧派家居集团股份有限公司,广州,7-9千/月,周末双休 五险一金 员工旅游 绩效奖金 专业培训 定期体检 通讯补贴 免费班车 股票期权,上市公司,6.0,3.0,2021-06-27 04:00:44,10000人以上,https://jobs.51job.com/guangzhou/128231399.html?s=sou_sou_soulb&t=0_0
会计,西安凯鑫财务咨询有限责任公司,西安,3-4.5千/月,节日福利 餐饮补贴 加班补贴 通讯补贴 绩效奖金 全勤奖 交通补贴 专业培训 周末双休,民营公司,5.0,3.0,2021-06-27 13:01:15,少于50人,https://jobs.51job.com/xian/131675463.html?s=sou_sou_soulb&t=0_0
财务会计,广东鸿粤洲际进出口有限公司,佛山-南海区,1-1.5万/月,年终奖金 绩效奖金 购买社保,民营公司,5.0,6.0,2021-06-27 12:57:31,50-150人,https://jobs.51job.com/foshan-nhq/133105952.html?s=sou_sou_soulb&t=0_0
会计,杭州杭萧贸易有限公司,杭州-滨江区,0.8-1万/月,五险一金 专业培训 通讯补贴 绩效奖金 餐饮补贴,国企,6.0,5.0,2021-06-27 12:49:08,少于50人,https://jobs.51job.com/hangzhou-bjq/131322714.html?s=sou_sou_soulb&t=0_0
总账会计（急）,深圳莎贝电子商务有限公司,深圳-罗湖区,0.8-1万/月,五险一金 绩效奖金 年终奖金,民营公司,5.0,4.0,2021-06-27 12:48:38,150-500人,https://jobs.51job.com/shenzhen-lhq/127981217.html?s=sou_sou_soulb&t=0_0
出纳会计,上海进念建筑设计装饰有限公司,上海-浦东新区,5-6千/月,五险一金 餐饮补贴 专业培训 绩效奖金 定期体检 节日福利 全勤奖 高温补贴,民营公司,5.0,5.0,2021-06-27 12:20:04,500-1000人,https://jobs.51job.com/shanghai-pdxq/132787812.html?s=sou_sou_soulb&t=0_0
财务主管（会计）,中青联盟大数据研究（北京）有限公司,北京-朝阳区,15-20万/年,五险一金 年终奖金 绩效奖金,合资,6.0,5.0,2021-06-27 11:56:12,少于50人,https://jobs.51job.com/beijing-cyq/133127366.html?s=sou_sou_soulb&t=0_0
主办会计（集团）,兴海集团,佛山,0.6-1万/月,五险 通讯补贴 车补 包住宿 节日福利 员工旅游 专业培训 年终奖金 7.5小时每天 大小周,民营公司,5.0,5.0,2021-06-27 11:35:59,500-1000人,https://jobs.51job.com/foshan/131529335.html?s=sou_sou_soulb&t=0_0
全盘会计,珠海横琴糖世界商贸有限公司,珠海-香洲区,4-6.5千/月,带薪年假 交通补贴 节日福利 通讯补贴 五险一金,创业公司,6.0,3.0,2021-06-27 11:30:27,少于50人,https://jobs.51job.com/zhuhai-xzq/112654817.html?s=sou_sou_soulb&t=0_0
财务会计专员,广州爱尚制药有限公司,广州-白云区,4.5-6千/月,包吃 住房补贴 交通补贴,民营公司,5.0,3.0,2021-06-27 11:16:51,50-150人,https://jobs.51job.com/guangzhou-byq/132563395.html?s=sou_sou_soulb&t=0_0
会计助理,广州市海林电子科技发展有限公司,广州,3-4.5千/月,包吃 包住宿 专业培训,民营公司,5.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/guangzhou/133127218.html?s=sou_sou_soulb&t=0_0
会计,宁夏中利科技有限公司,石嘴山,3-4千/月,绩效奖金 年终奖金 餐饮补贴 通讯补贴 专业培训 五险一金 员工旅游,上市公司,5.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shizuishan/133127208.html?s=sou_sou_soulb&t=0_0
会计、出纳,深圳市中影百汇影业投资有限公司百汇影城,佛山-顺德区,4-8千/月,带薪年假 五险一金 全勤奖 节日福利 房补 提成,民营公司,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/foshan-sdq/133127112.html?s=sou_sou_soulb&t=0_0
电商总账会计（外派上海）,青岛明月海藻集团有限公司,青岛-黄岛区,0.8-1万/月,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金,合资,6.0,6.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/qingdao-hdq/133127075.html?s=sou_sou_soulb&t=0_0
***会计,石家庄博大工业泵有限公司,石家庄,300元/天,周末双休 五险一金 绩效奖金 专业培训 全勤奖,民营公司,5.0,8.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shijiazhuang/133127054.html?s=sou_sou_soulb&t=0_0
总账会计,上海网达软件股份有限公司,上海-浦东新区,1-1.5万/月,五险一金 专业培训 弹性工作 年终奖金 上市公司,上市公司,6.0,6.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/shanghai-pdxq/133127041.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳易佳特科技有限公司,深圳-宝安区,6-8千/月,专业培训 节日福利 绩效奖金 加班补贴 五险一金 员工旅游 出国机会 定期体检 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/shenzhen-baq/133126921.html?s=sou_sou_soulb&t=0_0
会计助理,长春京来香食品有限公司,长春-宽城区,3.8-4.2千/月,提供食宿 包吃 包三餐 包住宿 节日福利,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/changchun-kcq/133126816.html?s=sou_sou_soulb&t=0_0
税务会计,润讯创科（深圳）科技有限公司,深圳-龙华区,0.8-1万/月,五险一金 员工旅游 专业培训 年终奖金 绩效奖金 节日福利 带薪年假,民营公司,5.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-lhq/133126815.html?s=sou_sou_soulb&t=0_0
成本会计,广东绿缔智能冷链科技股份有限公司,广州-花都区,5-6.5千/月,五险 提供工作餐 弹性工作 专业培训 绩效奖金 单双休,民营公司,5.0,6.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/guangzhou-hdq/133126774.html?s=sou_sou_soulb&t=0_0
会计,北京拓首能源科技股份有限公司,连云港,4.5-6千/月,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/lianyungang/133126771.html?s=sou_sou_soulb&t=0_0
会计,深圳市大风科技有限公司,深圳-宝安区,6.5-7千/月,五险一金 员工旅游 通讯补贴 定期体检 年终奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-baq/133126730.html?s=sou_sou_soulb&t=0_0
应付会计,深圳市京泉华科技股份有限公司,深圳-龙岗区,6-8千/月,五险一金 全勤奖 绩效奖金 通讯补贴 5.5天制 节日福利 带薪年假,民营公司,5.0,3.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/shenzhen-lgq/133126671.html?s=sou_sou_soulb&t=0_0
武清区主办会计,天津一诺前景财务咨询有限公司,天津-武清区,4.5-6千/月,做五休二 周末双休 带薪年假 绩效奖金 全勤奖 节日福利 专业培训,民营公司,5.0,3.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/tianjin-wqq/133126667.html?s=sou_sou_soulb&t=0_0
外贸会计,武汉杰克船长电子商务有限公司,武汉-武昌区,5-6千/月,员工旅游 交通补贴 专业培训 出国机会 绩效奖金 年终奖金 五险,民营公司,6.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/wuhan-wcq/133126601.html?s=sou_sou_soulb&t=0_0
对账会计/财务助理,广州市来朝贸易有限公司,广州,3-4.5千/月,餐饮补贴 专业培训 绩效奖金 年终奖金,民营公司,5.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/guangzhou/133126562.html?s=sou_sou_soulb&t=0_0
销售会计,武汉市清晨纸业有限公司,武汉-东西湖区,4-6千/月,周末双休 绩效奖金 专业培训 年终奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/wuhan-dxhq/133126290.html?s=sou_sou_soulb&t=0_0
财务会计专员,武汉海峡明朗口腔门诊部有限公司,武汉-江岸区,4.5-6千/月,绩效奖金 年终奖金 员工旅游 五险 带薪年假,民营公司,5.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/wuhan-jaq/133126069.html?s=sou_sou_soulb&t=0_0
财务会计部经理,永艺家具股份有限公司,湖州-安吉县,2-2.5万/月,五险一金 员工旅游 年终奖金 绩效奖金 带薪年假 专业培训 节日福利,上市公司,6.0,6.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/huzhou-ajx/133125809.html?s=sou_sou_soulb&t=0_0
会计,江苏梦溪智能环境科技有限公司,镇江-京口区,4.5-6千/月,餐饮补贴 节日福利 年终奖金 五险一金 员工旅游 专业培训 带薪年假,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/zhenjiang-jkq/133125542.html?s=sou_sou_soulb&t=0_0
财务会计专员,宁波大通亨利机械制造有限公司,宁波-奉化区,4.5-6千/月,高温补贴 节日福利 包吃 单休 五险,创业公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/ningbo-fhq/133125434.html?s=sou_sou_soulb&t=0_0
财务会计专员,武汉品尚佳电子商务有限公司,武汉-黄陂区,5-7千/月,住房补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/wuhan-hpq/133125428.html?s=sou_sou_soulb&t=0_0
会计/助理会计,广州市天霸美容美发用品有限公司,广州,5-8千/月,五险一金 绩效奖金 带薪法定假 年终奖金 定期体检 旅游拓展 专业培训 包吃包住 节日福利 全勤奖,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/guangzhou/133125388.html?s=sou_sou_soulb&t=0_0
成本会计,湖北玉丰国际大酒店有限公司,武汉-武昌区,3-4.5千/月,包吃 包住宿 全勤奖 节日福利 专业培训 五险一金 员工旅游 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/wuhan-wcq/133125381.html?s=sou_sou_soulb&t=0_0
往来会计+应收方向+双休,广东恰好时体育有限公司,广州-天河区,6-7千/月,专业培训 绩效奖金 年终奖金 通讯补贴 五险一金 员工旅游,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/guangzhou-thq/133125241.html?s=sou_sou_soulb&t=0_0
出纳会计,青岛斯高能源有限公司,青岛-崂山区,4.5-6千/月,带薪年假 交通补贴 餐饮补贴 通讯补贴 五险一金 单休,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/qingdao-lsq/133125106.html?s=sou_sou_soulb&t=0_0
结算会计,深圳市迪滴新能源汽车科技有限公司,深圳-南山区,6-8千/月,周末双休 员工团建 全薪病假 弹性班次 五险一金,合资,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-nsq/133125034.html?s=sou_sou_soulb&t=0_0
成本会计,东莞泰合复合材料有限公司,东莞,6-8千/月,员工旅游 专业培训 五险一金 年终奖金 绩效奖金 带薪年假 加班补贴 周末双休,外资（非欧美）,5.0,4.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/dongguan/133124987.html?s=sou_sou_soulb&t=0_0
会计,深圳市油漆堡实业有限公司,深圳-宝安区,5-8千/月,五险一金 交通补贴 专业培训 年终奖金 绩效奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-baq/133124699.html?s=sou_sou_soulb&t=0_0
财务主办会计,深圳康佳信息网络有限公司,深圳-南山区,0.8-1.2万/月,周末双休 带薪年假 五险一金 绩效奖金 节日福利 餐饮补贴 高温补贴,国企,6.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-nsq/133124538.html?s=sou_sou_soulb&t=0_0
总账会计 IPO,广州市领航食品投资有限公司,广州-花都区,0.8-1.5万/月,大小周 带薪年假 专业培训 节日福利 年终奖金 工龄奖金 生日津贴 每年多次调薪 提供食宿 五险,民营公司,6.0,5.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/guangzhou-hdq/133124461.html?s=sou_sou_soulb&t=0_0
总账会计/双休/有班车,广东省脐带血造血干细胞库,广州-黄埔区,6-8千/月,五险一金 免费班车 员工旅游 餐饮补贴 定期体检 绩效奖金 专业培训,外资（非欧美）,5.0,5.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/guangzhou-hpq/133124379.html?s=sou_sou_soulb&t=0_0
财务会计专员,康朝药业有限公司,长沙-开福区,4-7千/月,员工旅游 专业培训 五险一金 通讯补贴 交通补贴 包住宿 节日福利,民营公司,5.0,3.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/changsha-kfq/133124273.html?s=sou_sou_soulb&t=0_0
主办会计,广州飞领信息科技有限公司,广州-花都区,4-8千/月,周末双休 弹性工作 专业培训 绩效奖金 社保五险,民营公司,5.0,5.0,2021-06-27 11:01:12,少于50人,https://jobs.51job.com/guangzhou-hdq/117119740.html?s=sou_sou_soulb&t=0_0
电商会计,泉州文户贸易有限公司,泉州-丰泽区,4-5千/月,节日福利 弹性工作 全勤奖 带薪年假,民营公司,4.0,5.0,2021-06-27 10:49:43,50-150人,https://jobs.51job.com/quanzhou-fzq/133130241.html?s=sou_sou_soulb&t=0_0
会计,荆州领尚汽车销售服务有限公司,荆州-荆州区,3-4.5千/月,购买五险 节日福利 包吃 专业培训,民营公司,5.0,5.0,2021-06-27 10:43:50,少于50人,https://jobs.51job.com/jingzhou-jzq/133127441.html?s=sou_sou_soulb&t=0_0
在校生、应届生实习完可转正（实习会计）,深圳风景线企业服务有限公司,深圳-福田区,3-5千/月,周末双休 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训 通讯补贴 交通补贴,民营公司,2.0,3.0,2021-06-27 10:24:22,少于50人,https://jobs.51job.com/shenzhen-ftq/131558055.html?s=sou_sou_soulb&t=0_0
会计助理,广东一芙化妆品有限公司,汕头,3-4千/月,五险一金 员工旅游 餐饮补贴 带薪年假 免费班车 节日福利 全勤奖 专业培训,外资（非欧美）,5.0,5.0,2021-06-27 10:14:07,150-500人,https://jobs.51job.com/shantou/133129388.html?s=sou_sou_soulb&t=0_0
账务员  会计助理  财务助理,广东顺德联铸精密制造有限公司,佛山-顺德区,4.5-6千/月,包吃 购买社保 8小时六天制,合资,6.0,3.0,2021-06-27 10:13:04,50-150人,https://jobs.51job.com/foshan-sdq/123542622.html?s=sou_sou_soulb&t=0_0
会计,广州市邀邀林健康科技有限公司,广州-黄埔区,4.5-6千/月,餐饮补贴 年终奖金 五险一金 节日福利 加班补贴,民营公司,6.0,5.0,2021-06-27 10:01:12,少于50人,https://jobs.51job.com/guangzhou-hpq/132464992.html?s=sou_sou_soulb&t=0_0
会计/会计文员,深圳市捷代电子科技有限公司,深圳-龙华区,5-8千/月,绩效奖金 餐饮补贴 年终奖金 带薪年假 全勤奖 五险一金 大小周制,民营公司,5.0,3.0,2021-06-27 10:01:11,50-150人,https://jobs.51job.com/shenzhen-lhq/132350565.html?s=sou_sou_soulb&t=0_0
会计（五险+各种福利）,云南德客曼全屋整装设计有限公司,昆明-官渡区,5-8千/月,社保五险 餐饮补贴 交通补贴 通讯补贴 年终奖金 绩效奖金 全勤奖 工龄工资 带薪年假 节日福利,民营公司,5.0,5.0,2021-06-27 09:57:41,50-150人,https://jobs.51job.com/kunming-gdq/124215852.html?s=sou_sou_soulb&t=0_0
税务会计,鼎镁新材料科技股份有限公司,昆山,4.5-6千/月,五险一金 年终奖金 员工旅游 绩效奖金 定期体检 节日福利 专业培训,外资（非欧美）,5.0,3.0,2021-06-27 09:55:31,1000-5000人,https://jobs.51job.com/kunshan/133126062.html?s=sou_sou_soulb&t=0_0
会计,广州宝捷电子材料科技有限公司,广州-黄埔区,6-8千/月,五险一金 补充医疗保险 年终奖金,民营公司,6.0,4.0,2021-06-27 09:52:20,50-150人,https://jobs.51job.com/guangzhou-hpq/115033095.html?s=sou_sou_soulb&t=0_0
总账会计（汽车行业）,陕西华亿心成汽车销售服务有限公司,西安-未央区,4.5-6千/月,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 免费停车,民营公司,5.0,6.0,2021-06-27 09:45:45,50-150人,https://jobs.51job.com/xian-wyq/133124208.html?s=sou_sou_soulb&t=0_0
会计,苏州市金腾调味品有限公司,苏州-吴中区,4.5-6千/月,五险 全勤奖 节日福利 专业培训 高温补贴 加班补贴 餐饮补贴,民营公司,5.0,5.0,2021-06-27 09:18:18,50-150人,https://jobs.51job.com/suzhou-wzq/130823543.html?s=sou_sou_soulb&t=0_0
会计,广东柏拉图装饰设计工程有限公司,广州-天河区,4.5-6千/月,专业培训 绩效奖金 弹性工作 带薪年假 加班补贴 全勤奖 节日福利 员工旅游,民营公司,5.0,4.0,2021-06-27 09:08:31,50-150人,https://jobs.51job.com/guangzhou-thq/133048561.html?s=sou_sou_soulb&t=0_0
