福利待遇,数量
提供餐厅宿舍,1
提成,6
提成可观,1
提成奖金,2
提成高,1
搬迁补贴,1
收入高,1
效益奖金,1
教育基金,1
教育高薪,1
文体活动,3
文化open,1
文化活动,1
文娱活动,2
文娱生活,1
新人带薪休假,1
新创企业,1
旅游健身津贴,1
旅游团建,2
旅游基金,1
旅游学习,1
旅游福利,1
无出差,1
无加班,1
无夜班,2
无责底薪,1
无限水果零食,1
无限量零食,1
无限零食,1
无驻场,1
日常活动,1
日用品,1
日语环境,1
早中餐,1
早九晚六,4
早十晚六,1
早晚餐提供,1
早餐,1
早餐牛奶,1
时薪加班费,1
星级工作餐,1
春节10天假期,1
晋升,1
晋升发展,1
晋升平台,1
晋升快,5
晋升机会,7
晋升标准明确,1
晋升空间,9
晋升空间大,16
晋升调薪,1
晋升调薪机会,1
晋升透明,1
晋升通道,3
晋升通道明确,1
晋级考核,1
暑假,1
最高比公积金,1
月休4天,1
月休6天,1
月休六天,1
月休四天,1
月度团建,1
月度奖金,2
月度绩效奖金,1
月度聚餐,1
月度集体活动,1
有晋升空间,1
有精致下午茶,1
有薪事假,1
有薪年假,1
有资深同事带,1
有食堂,1
朝九晚五,9
朝九晚六,17
朝十晚五,1
朝阳行业好,1
期权,2
期权分红,1
期权奖,1
期权奖金,1
期权激励,1
机国补贴,1
极少加班,1
标准工时,1
梦想基金,1
楼下有餐厅,1
横向发展空间,1
欧洲上市公司,1
正常放节假日,1
每周下午茶,2
每周休两天半,1
每周双休,4
每周员工活动,1
每周打球活动,1
每周日单休,1
每周零食饮料,1
每天下午茶,3
每年2次旅游,1
每年一次疗养,1
每年一次调薪,1
每年两次旅游,1
每年两次调休,1
每年两次调薪,2
每年体检,1
每年团建,1
每年固定调薪,1
每年多次调薪,22
每年涨薪,1
每年调薪,5
每日下午水果,1
每日下午茶,2
每日水果零食,1
每月一次团建,1
每月团建,2
每月团建一次,1
每月团建活动,1
每月物质福利,1
每月聚餐,3
气氛好,1
氛围nice,1
氛围好,6
氛围宽松,1
氛围融洽,1
氛围超好,1
氛围轻松,3
水果下午茶,1
水果零食,1
求学奖励,1
法休,2
法定假,1
法定假日,13
法定假日假期,1
法定假期,7
法定年休假,1
法定年假,1
法定福利,1
法定节假日,27
法定节假日休,1
法定节日休息,1
洗衣补助,1
活动丰富,1
活动多,1
活动拓展,1
浓厚学术氛围,1
海外旅游,1
海外游,1
海归团队,1
深莞班车,2
清华投资,1
温馨宿舍,1
满勤奖,3
满勤奖励,1
激励旅游,1
激励股权计划,1
灵活休假制度,1
爱家文化,1
父母保险计划,1
父母关爱金,1
父母养老金,1
父母工资,1
牛人团队,2
牛人多,2
特殊事项津贴,1
环境优美,4
环境优越,2
环境优雅,2
环境好,2
环境舒适,1
环境高大上,1
现代化办公,1
现场补贴,1
现金奖,1
班次补贴,1
班车接送,3
班车食堂,1
瑜伽健身,1
生日Party,1
生日party,2
生日会,31
生日会及礼物,1
生日会和礼物,1
生日会团建,1
生日会福利,1
生日假,3
生日假期,2
生日关怀,1
生日卡,1
生日周年福利,1
生日团建,1
生日宴,1
生日带薪假,1
生日慰问,3
生日津贴,4
生日礼,1
生日礼券,2
生日礼品,8
生日礼物,12
生日礼金,21
生日祝福,2
生日福利,125
生日禮金,1
生日红包,2
生日聚餐,1
生日节日福利,3
生日补助,1
生日补贴,2
生活补贴,1
生育礼金,1
生育福利,1
生育补贴,1
用户过亿,3
甲级CBD办公,1
电脑补助,4
电脑补贴,9
电话福利,1
疗养基金,1
着装休闲,1
知名企业,1
知名外企,1
短期调薪,1
