森迪科技 / 长沙 / 硬件工程师 / 学历不限 /,5001-8000元,话补，房补，年底双薪
森迪科技 / 长沙 / 游戏设计开发 / 学历不限 /,5001-8000元,话补，房补，年底双薪
厦门航通盛科技有限公司 / 长沙 / 游戏设计开发 / 学历不限 /,3001-5000元,话补，房补，年底双薪
万树IT / 长沙 / seo优化 / 学历不限 /,3001-5000元,话补，带薪年假，双休
弘盛名车 / 星沙中南汽车世界 / 网络管理员 / 高中 /,3001-5000元,年底双薪，带薪年假，包吃
0731家居网 / 天心友谊路 / 网络推广 / 学历不限 /,3001-5000元,带薪年假，包住，五险一金
长沙炎黄文化科技有限公司 / 宁乡 / 技术支持维护 / 大专 /,3001-5000元,年底双薪，带薪年假，包住
长沙久业科技有限公司 / 长沙 / 网站编辑 / 学历不限 /,2001-3000元,包住
长沙美进网络科技有限公司 / 芙蓉芙蓉周边 / 网站编辑 / 大专 /,3000-5000元,
湖南湘佳牧业股份有限公司 / 长沙 / 网站运营 / 大专 /,3001-5000元,话补，员工体检，包吃
长沙最需网络科技有限公司 / 长沙 / 网站编辑 / 学历不限 /,面议,话补，年底双薪，带薪年假
长沙最需网络科技有限公司 / 长沙 / 网站编辑 / 学历不限 /,3001-5000元,话补，年底双薪，带薪年假
湖南智远电子商务有限公司 / 长沙 / 网站运营 / 学历不限 /,面议,
森迪科技 / 长沙 / 游戏设计开发 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 软件工程师 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 软件工程师 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 前端工程师 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 软件工程师 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 软件工程师 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 网站运营 / 中专技校 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / 网络管理员 / 高中 /,面议,话补，房补，年底双薪
森迪科技 / 长沙 / 技术专员助理 / 高中 /,面议,话补，房补，年底双薪
森迪科技 / 长沙 / 网络管理员 / 高中 /,3001-5000元,话补，房补，年底双薪
森迪科技 / 长沙 / seo优化 / 大专 /,3001-5000元,年底双薪，带薪年假，员工体检
森迪科技 / 长沙 / 网站运营 / 大专 /,3001-5000元,房补，年底双薪，带薪年假
湖南美租网络技术有限公司 / 长沙 / 技术支持维护 / 中专技校 /,3001-5000元,话补，房补，年底双薪
湖南威耐斯 / 长沙 / seo优化 / 大专 /,3001-5000元,话补，房补，年底双薪
湖南优才创智 / 学历不限 /,3000-5000,
长沙乐购网络科技有限公司 / 学历不限 /,5000-8000,
北京众智动力科技发展有限公司长沙... / 学历不限 /,5000-8000,
长沙索力网络科技有限公司 / 学历不限 /,3000-5000,
湖南达古信息科技有限公司 / 学历不限 /,8000-12000,
湖南瑞邦管业有限公司 / 学历不限 /,3000-5000,
中原（湖南）房地产代理有限公司 / 学历不限 /,8000-12000,
中原（湖南）房地产代理有限公司 / 学历不限 /,5000-8000,
长沙领秀教育科技有限公司 / 学历不限 /,5000-8000,
长沙玩七三信息技术有限公司 / 学历不限 /,面议,
长沙翡翠教育咨询有限公司 / 学历不限 /,3000-5000,
湖南华信智原信息科技有限公司 / 学历不限 /,3000-5000,
长沙翡翠教育咨询有限公司 / 学历不限 /,面议,
湖南百美贸易有限公司 / 学历不限 /,3000-5000,
长沙新石嘉园生态农业开发有限公司 / 学历不限 /,3000-5000,
长沙海平数码科技有限公司 / 学历不限 /,5000-8000,
湖南微字科技有限公司 / 学历不限 /,面议,
量子财富（湖南）资产管理集团有限公司 / 学历不限 /,5000-8000,
