company_industry,company_introduction,company_name,company_size,company_type,level,number_recruiters,position,salary,update_time,work_location
酒店/餐饮,"北京潮霸餐饮有限公司,2018年06月14日成立，经营范围包括销售食品；餐饮服务；餐饮管理；销售食用农产品、机械设备、电子产品；会议服务；组织文化艺术交流活动（不含营业性演出）；市场调查；经济贸易咨询；技术开发、技术服务、技术推广、技术咨询、技术转让。（企业依法自主选择经营项目，开展经营活动；销售食品、餐饮服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁...",北京潮霸餐饮有限公司,100-499人,https://shuidi.cn/company-3520...,,,,,,
建筑/装修,本公司为建筑公司，主要从业于地基基础、市政绿化项目公司地址为北京市海淀区上庄镇，欢迎投递简历。,北京城钧建筑工程有限责任公司,20-99人,民营,不限,1,土建预算学徒,3000-5000元 ,2020-11-18,海淀
贸易/交通/运输/物流,北京尚翔科技发展有限公司成立2013年，主要业务服务于国内电力能源行业，致力为客户提供优质专业的产品以及服务，是行业中具有较强的专业性的企业。,北京尚翔科技发展有限公司,20人以下,民营,,,,,,
教育/培训,海淀优秀教育团队入驻：1、海淀名师查缺补漏，教孩子走捷径学技巧，熟练掌握考试重难点；2、培养促进孩子学习成绩进步的七大思难习惯；小学托管，幼小衔接，小初高同步辅导，3-6人精品班，一对一提高班等。,北京博乐百姓缘教育科技有限公司,20人以下,民营,本科,1,急聘兼职高中数学老师,130元/小时 ,2020-12-02,房山
酒店/餐饮,美宿客栈地理位置优越，交通十分便利。拥有内景大床房、豪华商务房、行政商务房、商务套房等多种房型，超大的空间，典雅的设计，周到的服务，令您畅享舒适、豪华、温馨的独特氛围。,兰州湧泰建安建筑有限公司,100-499人,民营,中专/技校,40,光电风电运维岗,5000-8000元 ,2020-11-19,其他
医疗设备/器械,我们是以中医药技术研发及中医特色诊疗技术为核心，开展各种慢性病的精准有效调理与康复及居家养生与养老服务的智慧医养生态产业平台,大京养正医养结合健康管理（北京）股份有限公司,20-99人,http://www.ddndjyz.com/,不限,100,慢病康复保险项目,300元/天 ,2020-11-18,北京
农/林/牧/渔,国家能源局于2011年9月28日发文（国能科技328号）批准设立“国家能源非粮生物质原料研发中心”（以下简称为研发中心），由中国农业大学、北京林业大学、中国大唐集团新能源股份有限公司和河南天冠企业集团有限公司共同组建，受国家能源局领导，依托单位为中国农业大学。研发中心以建成我国高产、优质、低耗的非粮生物质原料可持续供应体系为总目标，集聚我国分散的非粮生物质原料研发力量，跟踪国际生物质能源科技发展前...,北京慧明雨实验科技有限公司,20人以下,"http://necb.cau.edu.cn,http://...",大专,2,行政专员/助理,3000-5000元 ,2020-11-18,海淀
其它行业,万户致力在中国医疗改革市场中，通过PBM管理模式，充分依托现代医学和信息科学、智能化的管理系统，将保险机构、制药公司、医院和药房的资源进行整合，对目标人群进行精细管理，在实现患者利益最大化的前提下，有效控制医保费用。,万户良方（北京）健康管理有限公司,20-99人,外商独资,,,,,,
酒店/餐饮,华文酒店位于北京市东城区核心地段，地理位置优越，交通比较便利。我们为一家新兴酒店管理公司，致力于成为一家高端酒店管理品牌，集客房、餐饮等服务项目。我们视员工为最重要的合作伙伴，并为员工提供职业发展平台，在工作中实现自己的人生价值，我们真切期待您的加入。,张家口华文酒店管理有限公司北京第二分公司,20-99人,股份制企业,不限,6,西餐厨师,3000-5000元 ,2020-11-19,东城
能源/矿产/采掘/冶炼,北京大地高科地质勘查有限公司成立于1994年6月，注册资本1亿元，前身为北京大地高科煤层气工程技术研究院和北京中煤大地技术开发有限公司，隶属于中煤地质集团有限公司和中国煤炭地质总局，是国资委管理的中央三级企业。公司坚持以市场为导向、以客户为中心、以科技为引领，主营地质勘查与矿业开发、矿山灾害治理与抢险救援、新能源开发及综合工程地质技术服务四大主业，致力于打造成为大地企业集团。公司是原国家安...,北京大地高科地质勘查有限公司,100-499人,国企,本科,2,成本会计,8000-12000元 ,2020-11-19,石景山
物业管理/商业中心,公司成立十余年，现增加公司业务，特招行业精英加入，主要为商户选址，有餐饮教育酒店等相关资源可以快速变现，,北京心金诚房地产经纪有限公司,20-99人,民营,,,,,,
贸易/交通/运输/物流,供应链管理，仓储服务，配送服务，建筑物清洁服务，技术服务，软件开发,北京京通运达供应链管理有限公司,20-99人,民营,不限,18,招哈啰单车运输司机,12000-20000元 ,2020-11-20,昌平
建筑/装修,承包各类建筑室内外装饰装修工程的设计、施工；建筑工程的机电设备和建筑智能化设备的设计、安装；建筑幕墙的设计、生产、施工；建筑工程消防设施的施工；钢结构的制作和安装；园林绿化；建筑装饰材料、构配件的制造和加工；承包境外建筑装修装饰工程和境内国际招标工程；上述境外工程所需的设备、材料出口；对外派遣实施上述境外工程所需的劳务人员。（以上涉及生产、加工、制作的项目均限分支机构；涉及专项规定的需取得专项许可...,北京绽晟文化传媒有限公司,100-499人,民营,,,,,,
贸易/交通/运输/物流,北京市天福号集团下属子公司，主要从事京津冀周边冷链配送业务，现有4.2米冷藏厢式货车40余部，因业务规模拓展，急招货运司机5人,北京天福号物流运输有限公司,20-99人,国企,不限,5,国企直聘北京市配司机,8000-12000元 ,2020-11-20,顺义
其它行业,公司致力于网络采购与销售，主要面向国际和国内两个市场。这里是网络客服的用武之地，付出就有回报。,北京比尔慧德科贸有限公司,20人以下,民营,,,,,,
计算机/网络/通信,联想品牌北京代理商，渠道分销，电子商务（天猫、京东、拼多多等运营），大客户，单位采销。,北京中伟智联系统集成有限公司,20-99人,民营,高中,7,商务专员销售若干商务销售...,8000-12000元 ,2020-11-23,海淀
其它行业,公司与最大规模的劳务公司合作伙伴签订协议，为每一位打工者保驾护航，灵活用工平台,北京海富盛通科技有限公司,100-499人,民营,不限,10,急招地推 不限学历经验就...,8000-12000元 ,2020-11-21,朝阳
生产/制造,我司属于外资500强企业，现主要生产经营好奇尿裤、舒洁纸、高洁丝卫生巾、帮伴成人尿裤等产品,菲仕兰食品贸易（上海）有限公司北京分公司,1000-9999人,外商独资,,,,,,
物业管理/商业中心,企业宗旨：管理就是高标准，服务就是创一流企业文化：利人、利己、利百家！服务理念：靠保安展示集团服务的形象靠保洁展示集团服务的质量靠物业管理展示集团服务的信誉靠人力服务打造集团公司的品牌经营理念：品牌信誉为先，实力质量为本。企业目标：现代化集团管理，高品质集团服务。保证：你的需求只需要告诉我们一次。,北京利百家物业管理有限公司,20人以下,民营,,,,,,
