ISBN,author,binding,comments,img_url,link,page,press,price,score,time,title,translator
9787532754373,[英] 石黑一雄,精装,6649,https://img2.doubanio.com/view/subject/s/public/s29858413.jpg,https://book.douban.com/subject/6060455/,258,上海译文出版社,28.00元,7.7,2011-5-1,浮世画家,马爱农
9787544290425,[日] 是枝裕和,45.00,1957,https://img1.doubanio.com/view/subject/s/public/s29492798.jpg,https://book.douban.com/subject/27068271/,217,南海出版公司,45.00,7.9,2017-8-1,下一站，天国,金晖
9787929114117,乙一,49.8,861,https://img9.doubanio.com/view/subject/s/public/s33653515.jpg,https://book.douban.com/subject/26889178/,363,人民文学出版社,49.8,8.9,2016-8,动物园,张筱森
9787214058577,山崎丰子,48.00元,1707,https://img3.doubanio.com/view/subject/s/public/s3973491.jpg,https://book.douban.com/subject/3863454/,831,江苏人民出版社,48.00元,8.8,2009-7,白色巨塔,娄美莲等
9787532745975,(日)村上春树,平装,8334,https://img9.doubanio.com/view/subject/s/public/s3211725.jpg,https://book.douban.com/subject/3168460/,165,上海译文出版社,15.00元,7.8,2008-8,1973年的弹子球,林少华
9787559611567,[日] 东野圭吾,平装,8975,https://img9.doubanio.com/view/subject/s/public/s29659546.jpg,https://book.douban.com/subject/27173553/,327,北京联合出版公司,42.00元,7.1,2018-1,白金数据,王蕴洁
9787229080969,三岛由纪夫,精装,1216,https://img1.doubanio.com/view/subject/s/public/s27297248.jpg,https://book.douban.com/subject/25900284/,300,重庆出版社,45.00,9.3,2014-7,天人五衰,文洁若
9787220115875,[日] 三岛由纪夫,42.00元,600,https://img9.doubanio.com/view/subject/s/public/s33492075.jpg,https://book.douban.com/subject/34820849/,224,四川人民出版社,42.00元,9.5,2019-10,近代能乐集,玖羽
9787533938611,[日]大江健三郎,45.00元,1301,https://img9.doubanio.com/view/subject/s/public/s29243126.jpg,https://book.douban.com/subject/26940247/,336,浙江文艺出版社,45.00元,8.5,2017-3,个人的体验,王中忱
9787544293495,[日]奥田英朗,精装,2015,https://img3.doubanio.com/view/subject/s/public/s29828741.jpg,https://book.douban.com/subject/30257740/,519,南海出版公司,68.00元,8.1,2018-8,无理时代,曹逸冰
9787532745982,[日] 村上春树,平装,5889,https://img9.doubanio.com/view/subject/s/public/s30026255.jpg,https://book.douban.com/subject/3168468/,227,上海译文出版社,38.00元,8.2,2018-6,斯普特尼克恋人,林少华
9787020118472,[日] 谷川俊太郎,39.00,4274,https://img3.doubanio.com/view/subject/s/public/s28977211.jpg,https://book.douban.com/subject/26832913/,272,雅众文化,2016-8,7.7,2016-8,二十亿光年的孤独,田原
9787544717274,[日] 紫式部,平装,3591,https://img1.doubanio.com/view/subject/s/public/s6710048.jpg,https://book.douban.com/subject/6714015/,1238,译林出版社,89.00元,8.4,2011-7,源氏物语,林文月
9787544257442,[日] 伊坂幸太郎,精装,1561,https://img1.doubanio.com/view/subject/s/public/s29541007.jpg,https://book.douban.com/subject/27136843/,272,南海出版公司,45.00元,8.0,2017-10,死神的精确度,星野空
9787544284981,[日] 铃木光司,精装,2290,https://img9.doubanio.com/view/subject/s/public/s29056526.jpg,https://book.douban.com/subject/26861459/,245,南海出版公司,39,8.6,2017-1-1,环界1,贺迎
9787559603340,[日] 东野圭吾,平装,17685,https://img9.doubanio.com/view/subject/s/public/s29466436.jpg,https://book.douban.com/subject/27028847/,39.80元,北京联合出版公司,39.80元,7.2,2017-6,沉睡的人鱼之家,王蕴洁
9787540483531,[日] 西加奈子,45.00,2863,https://img1.doubanio.com/view/subject/s/public/s29652117.jpg,https://book.douban.com/subject/27176872/,288,湖南文艺出版社,45.00,7.8,2018-1,鱼河岸小店,吴曦
9787544251785,(日) 山本文绪,平装,8045,https://img3.doubanio.com/view/subject/s/public/s11368500.jpg,https://book.douban.com/subject/6885715/,224,南海出版公司,25.00元,7.7,2012-10,蓝另一种蓝,张苓
9787802255784,[日] 梦野久作,平装,6117,https://img2.doubanio.com/view/subject/s/public/s3348202.jpg,https://book.douban.com/subject/3286829/,450,新星出版社,33.00元,7.9,2009-1,脑髓地狱,林敏生
9787513312622,(日)堀辰雄,26.00元,4894,https://img9.doubanio.com/view/subject/s/public/s27236014.jpg,https://book.douban.com/subject/25714740/,128,新星出版社,26.00元,7.3,2013-10-1,起风了,烨伊
9787513317702,[日] 连城三纪彦,平装,2298,https://img1.doubanio.com/view/subject/s/public/s28063947.jpg,https://book.douban.com/subject/26367367/,214,新星出版社,28.00,8.7,2015-5,宵待草夜情,李盈春
9787220116865,[日] 涩泽龙彦,平装,217,https://img2.doubanio.com/view/subject/s/public/s33571272.jpg,https://book.douban.com/subject/34907858/,240,后浪丨四川人民出版社,39.80元,8.5,2020-4,龙彦之国绮谭集,王子豪
9787548401087,[日]凑佳苗、湊かなえ,26.00元,12023,https://img3.doubanio.com/view/subject/s/public/s4425090.jpg,https://book.douban.com/subject/4836682/,2010年6月,哈尔滨出版社,26.00元,8.5,2010年6月,告白,丁世佳
9787513259156,[日] 牧田善二,59.80元,198,https://img9.doubanio.com/view/subject/s/public/s33744385.jpg,https://book.douban.com/subject/35233219/,248,中国中医药出版社,59.80元,7.5,2020-10,饮食术,肖爽、梁永宣
9787201118284,谷崎润一郎,精装,1135,https://img2.doubanio.com/view/subject/s/public/s29539673.jpg,https://book.douban.com/subject/27135710/,96,天津人民出版社,49.00元,8.6,2017-9,春琴抄,曹曼
